baseline,config,mechanism,target,metric,mean,std,n_seeds
forward_fill,block_10,block,APD,MAE,1.2131304317048208,0.04590253109446116,3
forward_fill,block_10,block,APD,MRE,0.20339372399500455,0.0068457148182532,3
forward_fill,block_10,block,APD,RMSE,1.6408804509598358,0.07360702065880617,3
forward_fill,block_10,block,WVHT,MAE,0.5991849911184581,0.06745463523998904,3
forward_fill,block_10,block,WVHT,MRE,0.4299686412409717,0.0482253465201352,3
forward_fill,block_10,block,WVHT,RMSE,0.9607388313702686,0.1588558557569749,3
forward_fill,block_30,block,APD,MAE,1.2807080725366669,0.042811907174284125,3
forward_fill,block_30,block,APD,MRE,0.21812917031567883,0.008565579802318429,3
forward_fill,block_30,block,APD,RMSE,1.7188750701437712,0.07957106244678247,3
forward_fill,block_30,block,WVHT,MAE,0.6280284705910839,0.019945395707492458,3
forward_fill,block_30,block,WVHT,MRE,0.4699012384454358,0.01372192012658359,3
forward_fill,block_30,block,WVHT,RMSE,0.9543703732045956,0.032158402317939434,3
forward_fill,block_50,block,APD,MAE,1.4098291511055647,0.06592871867583985,3
forward_fill,block_50,block,APD,MRE,0.24258641012616444,0.011861485407041135,3
forward_fill,block_50,block,APD,RMSE,1.8734372880653896,0.11318092755452384,3
forward_fill,block_50,block,WVHT,MAE,0.7017538878150981,0.045601425209158636,3
forward_fill,block_50,block,WVHT,MRE,0.5391609779329384,0.0365570717812848,3
forward_fill,block_50,block,WVHT,RMSE,1.0991056438761282,0.046899524700825264,3
forward_fill,mcar_10,mcar,APD,MAE,0.24436899332161444,0.00032371678169883526,3
forward_fill,mcar_10,mcar,APD,MRE,0.040800063613610243,2.689380816508238e-05,3
forward_fill,mcar_10,mcar,APD,RMSE,0.3677662184713723,0.001924122325851544,3
forward_fill,mcar_10,mcar,WVHT,MAE,0.08846508141806099,0.00044733387790281816,3
forward_fill,mcar_10,mcar,WVHT,MRE,0.0625913024388915,0.0003177133910379729,3
forward_fill,mcar_10,mcar,WVHT,RMSE,0.14089592363045036,0.0003695219252475057,3
forward_fill,mcar_30,mcar,APD,MAE,0.267876329329861,0.0002939765220789144,3
forward_fill,mcar_30,mcar,APD,MRE,0.04471388147545691,4.1763380454797786e-05,3
forward_fill,mcar_30,mcar,APD,RMSE,0.4080748105787897,0.0008298309644600545,3
forward_fill,mcar_30,mcar,WVHT,MAE,0.096739100575099,0.00025459576083610016,3
forward_fill,mcar_30,mcar,WVHT,MRE,0.06834809085562395,9.188267688614831e-05,3
forward_fill,mcar_30,mcar,WVHT,RMSE,0.15600202009269734,0.0011337236836247951,3
forward_fill,mcar_50,mcar,APD,MAE,0.3064190660719559,0.00021754647617148358,3
forward_fill,mcar_50,mcar,APD,MRE,0.05115169592463787,2.5302588428220615e-05,3
forward_fill,mcar_50,mcar,APD,RMSE,0.4726085918392773,0.00024822065515408095,3
forward_fill,mcar_50,mcar,WVHT,MAE,0.11063418690188402,0.0003519070767194211,3
forward_fill,mcar_50,mcar,WVHT,MRE,0.0781808912066488,0.0002461397015022733,3
forward_fill,mcar_50,mcar,WVHT,RMSE,0.18252969154021423,0.0006673182893964261,3
forward_fill,station_outage_720,station_outage,APD,MAE,1.2919703288742603,0.19593078320296986,3
forward_fill,station_outage_720,station_outage,APD,MRE,0.18867195735461642,0.025107729161615466,3
forward_fill,station_outage_720,station_outage,APD,RMSE,1.694712743014837,0.23193489407142684,3
forward_fill,station_outage_720,station_outage,WVHT,MAE,0.6743213909827124,0.09418521553148217,3
forward_fill,station_outage_720,station_outage,WVHT,MRE,0.37594269145117565,0.041834948239651386,3
forward_fill,station_outage_720,station_outage,WVHT,RMSE,0.9914558024825378,0.177184178998582,3
forward_fill,station_outage_full,station_outage,APD,MAE,1.303003268084771,0.16067341378103928,3
forward_fill,station_outage_full,station_outage,APD,MRE,0.21614473593910866,0.03013821949952724,3
forward_fill,station_outage_full,station_outage,APD,RMSE,1.7265359965317317,0.2912171392608394,3
forward_fill,station_outage_full,station_outage,WVHT,MAE,0.6365355214264778,0.11265833035350037,3
forward_fill,station_outage_full,station_outage,WVHT,MRE,0.43813767199842973,0.09467971779223529,3
forward_fill,station_outage_full,station_outage,WVHT,RMSE,1.0543804149330223,0.334689514175106,3
linear_interp,block_10,block,APD,MAE,1.0843075059621434,0.02145240814918859,3
linear_interp,block_10,block,APD,MRE,0.18179762538581365,0.0020286104835114424,3
linear_interp,block_10,block,APD,RMSE,1.4606953186270797,0.019958170680228645,3
linear_interp,block_10,block,WVHT,MAE,0.5200634795812639,0.01248406501271929,3
linear_interp,block_10,block,WVHT,MRE,0.37320320862778966,0.009061521619611034,3
linear_interp,block_10,block,WVHT,RMSE,0.7908470641812002,0.03841293936895043,3
linear_interp,block_30,block,APD,MAE,1.08700499512959,0.020617032845849252,3
linear_interp,block_30,block,APD,MRE,0.18511620084475353,0.0038998220426613513,3
linear_interp,block_30,block,APD,RMSE,1.4550094585136784,0.029999162662306223,3
linear_interp,block_30,block,WVHT,MAE,0.503589901985209,0.006309742888512909,3
linear_interp,block_30,block,WVHT,MRE,0.37683355448868244,0.006620689286943829,3
linear_interp,block_30,block,WVHT,RMSE,0.7430667390121001,0.016367442225044094,3
linear_interp,block_50,block,APD,MAE,1.1856156607212132,0.026731559435832133,3
linear_interp,block_50,block,APD,MRE,0.20400421856255627,0.005305035624753518,3
linear_interp,block_50,block,APD,RMSE,1.5731362524691122,0.04370171842288251,3
linear_interp,block_50,block,WVHT,MAE,0.5567202286498727,0.014068697824851305,3
linear_interp,block_50,block,WVHT,MRE,0.4276667329101114,0.010335895775671598,3
linear_interp,block_50,block,WVHT,RMSE,0.8328147202913971,0.01121130786115549,3
linear_interp,mcar_10,mcar,APD,MAE,0.17931896897081676,0.00025041132740155506,3
linear_interp,mcar_10,mcar,APD,MRE,0.029939268187868198,4.2951025242594835e-05,3
linear_interp,mcar_10,mcar,APD,RMSE,0.26953513419657155,0.0008575396122971012,3
linear_interp,mcar_10,mcar,WVHT,MAE,0.06521147222779505,0.0002008103615522612,3
linear_interp,mcar_10,mcar,WVHT,MRE,0.04613874865383042,0.00012692003967626947,3
linear_interp,mcar_10,mcar,WVHT,RMSE,0.10385526620860597,0.00041681983791051275,3
linear_interp,mcar_30,mcar,APD,MAE,0.19078729486828605,0.00037983963910015586,3
linear_interp,mcar_30,mcar,APD,MRE,0.03184618289372149,5.477124281888868e-05,3
linear_interp,mcar_30,mcar,APD,RMSE,0.28755310471512074,0.0011330612130085068,3
linear_interp,mcar_30,mcar,WVHT,MAE,0.06843354393358449,0.00020945437891322117,3
linear_interp,mcar_30,mcar,WVHT,MRE,0.048349645924107364,9.339081063114356e-05,3
linear_interp,mcar_30,mcar,WVHT,RMSE,0.10896314858602908,0.0007928898325998896,3
linear_interp,mcar_50,mcar,APD,MAE,0.2106544735541039,0.0006137955966472248,3
linear_interp,mcar_50,mcar,APD,MRE,0.03516533712668348,9.415837990603205e-05,3
linear_interp,mcar_50,mcar,APD,RMSE,0.3182754775427284,0.0014992945567204243,3
linear_interp,mcar_50,mcar,WVHT,MAE,0.0743382906223073,1.4223788246194112e-05,3
linear_interp,mcar_50,mcar,WVHT,MRE,0.052531992912473686,1.6091481357700446e-05,3
linear_interp,mcar_50,mcar,WVHT,RMSE,0.11834815550116164,0.00015264314126351325,3
linear_interp,station_outage_720,station_outage,APD,MAE,1.3238225943056225,0.18081381106111483,3
linear_interp,station_outage_720,station_outage,APD,MRE,0.1933537829066235,0.022703220822977932,3
linear_interp,station_outage_720,station_outage,APD,RMSE,1.8086326074043015,0.24608969943130476,3
linear_interp,station_outage_720,station_outage,WVHT,MAE,0.6073066295392316,0.08995993045261975,3
linear_interp,station_outage_720,station_outage,WVHT,MRE,0.3378262526438913,0.025339768112643248,3
linear_interp,station_outage_720,station_outage,WVHT,RMSE,0.8752030141016011,0.13106035852856926,3
