baseline,config,mechanism,target,metric,mean,std,n_seeds
brits,block_10,block,APD,MAE,0.9734441203387997,0.02546458262006303,3
brits,block_10,block,APD,MRE,0.1632056300849018,0.0030110779588730396,3
brits,block_10,block,APD,RMSE,1.3069116967128935,0.03946702749672731,3
brits,block_10,block,WVHT,MAE,0.8091999761018341,0.012152638556315345,3
brits,block_10,block,WVHT,MRE,0.5806906095849298,0.00898777062972634,3
brits,block_10,block,WVHT,RMSE,1.1507450737081302,0.019506554922048128,3
brits,block_30,block,APD,MAE,1.0251106381337818,0.009418344849055073,3
brits,block_30,block,APD,MRE,0.17457687979318406,0.0023946776947001668,3
brits,block_30,block,APD,RMSE,1.380920780895514,0.0272945143342879,3
brits,block_30,block,WVHT,MAE,0.7379835417898764,0.019442969105339998,3
brits,block_30,block,WVHT,MRE,0.5521675163143884,0.012515654966835918,3
brits,block_30,block,WVHT,RMSE,1.0561737609227633,0.0292309222961374,3
brits,block_50,block,APD,MAE,1.0549455107469077,0.015091301250868933,3
brits,block_50,block,APD,MRE,0.18151086353745585,0.0026867703154835627,3
brits,block_50,block,APD,RMSE,1.4283409139293521,0.028082739494401404,3
brits,block_50,block,WVHT,MAE,0.6819264753975274,0.012728549533919395,3
brits,block_50,block,WVHT,MRE,0.5238372885040041,0.007860919146194825,3
brits,block_50,block,WVHT,RMSE,0.9808005435122951,0.02328362974481295,3
brits,mcar_10,mcar,APD,MAE,0.24225086789300346,0.00048368108932331455,3
brits,mcar_10,mcar,APD,MRE,0.040446406234370104,5.246696793694341e-05,3
brits,mcar_10,mcar,APD,RMSE,0.36009634528661844,0.00039417166112551725,3
brits,mcar_10,mcar,WVHT,MAE,0.08278146610088509,0.0001265193001151252,3
brits,mcar_10,mcar,WVHT,MRE,0.05857017284535757,0.00019741350366825927,3
brits,mcar_10,mcar,WVHT,RMSE,0.15962031903117796,0.0012350856174497256,3
brits,mcar_30,mcar,APD,MAE,0.3007864007145817,0.0005964769039984842,3
brits,mcar_30,mcar,APD,MRE,0.05020722969838209,9.796230499964882e-05,3
brits,mcar_30,mcar,APD,RMSE,0.4381441533594066,0.0013948279991593295,3
brits,mcar_30,mcar,WVHT,MAE,0.09737597812731995,0.00040827121388001915,3
brits,mcar_30,mcar,WVHT,MRE,0.06879796511768231,0.00019966503009015337,3
brits,mcar_30,mcar,WVHT,RMSE,0.1866410213188391,0.0013878333349503934,3
brits,mcar_50,mcar,APD,MAE,0.3855930544812833,0.0006999541397616102,3
brits,mcar_50,mcar,APD,MRE,0.06436851135168002,0.00011342242015092937,3
brits,mcar_50,mcar,APD,RMSE,0.554285813591023,0.0006587379315801019,3
brits,mcar_50,mcar,WVHT,MAE,0.12265114048896138,0.0004228044148766511,3
brits,mcar_50,mcar,WVHT,MRE,0.0866728393819181,0.000310271844305541,3
brits,mcar_50,mcar,WVHT,RMSE,0.23186430385029386,0.00029174781032900455,3
brits,station_outage_720,station_outage,APD,MAE,2.166983659809229,0.3373544915160736,3
brits,station_outage_720,station_outage,APD,MRE,0.3170292406710299,0.05037920459072127,3
brits,station_outage_720,station_outage,APD,RMSE,2.641347156540053,0.35181064086553454,3
brits,station_outage_720,station_outage,WVHT,MAE,0.9079488029308086,0.05501837581252897,3
brits,station_outage_720,station_outage,WVHT,MRE,0.5084245577417694,0.047041206907483216,3
brits,station_outage_720,station_outage,WVHT,RMSE,1.1875313531423248,0.10715671555441007,3
brits,station_outage_full,station_outage,APD,MAE,1.57194644351332,0.26997562210948445,3
brits,station_outage_full,station_outage,APD,MRE,0.26140849540713634,0.053803711529998084,3
brits,station_outage_full,station_outage,APD,RMSE,1.9958116782692434,0.29739845194526837,3
brits,station_outage_full,station_outage,WVHT,MAE,0.7273662776912165,0.026699885034315914,3
brits,station_outage_full,station_outage,WVHT,MRE,0.49910900916346046,0.041822170110350096,3
brits,station_outage_full,station_outage,WVHT,RMSE,0.9462162698721666,0.03322037712468074,3
