method,horizon,n_origins,MAE_kw,RMSE_kw,skill_vs_persistence
persistence,1,1014217,1.7519419695006635,5.284784989565517,0.0
ar24,1,1014217,1.6580500577671686,5.02993374727314,0.053593048952560784
graphwavenet,1,1014217,1.6685487307075642,5.657120955326397,0.04760045723253492
dlinear,1,1014217,1.6970491645444956,5.10602434998286,0.03133254748832426
patchtst,1,1014217,1.6709451815763534,5.261463664510912,0.0462325746710639
itransformer,1,1014217,1.7476319447946793,5.492690923129419,0.002460141249548742
dcrnn,1,1014217,1.6651659615059862,5.359214156416767,0.04953132552638728
agcrn,1,1014217,1.8111788001427667,6.512005345941156,-0.03381209633272664
persistence,3,1013453,2.5786632975026977,7.924348976201628,0.0
ar24,3,1013453,2.4405313096317998,7.561752888257219,0.05356728348546769
graphwavenet,3,1013453,2.2781170959138644,7.582277427456354,0.11655116116939224
dlinear,3,1013453,2.4864759234571308,7.680297743723435,0.0357500624974364
patchtst,3,1013453,2.432762655494868,7.577578416652429,0.05657995060818022
itransformer,3,1013453,2.4727174948530406,7.60279281298418,0.041085551088527184
dcrnn,3,1013453,2.289045192893382,7.282520278420782,0.11231326900638638
agcrn,3,1013453,2.3827768351226024,8.017473471300823,0.07596434267699903
persistence,6,1012609,3.7639029560695736,11.60203386961117,0.0
ar24,6,1012609,3.488815842909354,10.908651096620206,0.07308560193259528
graphwavenet,6,1012609,3.1133955212763125,10.292046248454314,0.1728278976332983
dlinear,6,1012609,3.5692915974924158,11.145942841795815,0.05170466955406816
patchtst,6,1012609,3.4502531758331942,10.94390498438469,0.08333099548451317
itransformer,6,1012609,3.4749515369548503,10.70285402727541,0.07676909380693986
dcrnn,6,1012609,3.148486988527702,10.130490234541474,0.16350473822643796
agcrn,6,1012609,3.1924061365576564,10.415825579786814,0.15183622590224755
persistence,12,1011291,5.46838113577148,16.244176966541264,0.0
ar24,12,1011291,4.863028408380549,14.680481489472228,0.11070053684279779
graphwavenet,12,1011291,4.283793088777435,13.723092148501854,0.21662499697489046
dlinear,12,1011291,4.971891262257122,15.055909182478832,0.09079284365651907
patchtst,12,1011291,4.791983761616948,14.836119102127105,0.12369243426173615
itransformer,12,1011291,4.778026668100709,14.541964829642989,0.12624476065774015
dcrnn,12,1011291,4.348353086596653,13.626017725616986,0.2048189439189142
agcrn,12,1011291,4.273535771580631,13.513348985507506,0.21850074720921586
persistence,24,1009050,7.691369673904843,21.146653594013873,0.0
ar24,24,1009050,6.433528974295076,17.807850047752282,0.1635392333146266
graphwavenet,24,1009050,5.882464466438753,17.19183414586995,0.23518635615751438
dlinear,24,1009050,6.581050067890696,18.40550940493198,0.14435915228222895
patchtst,24,1009050,6.40234983850947,18.305275853325487,0.1675930152946281
itransformer,24,1009050,6.357704465242925,18.124706982144186,0.17339762164686423
dcrnn,24,1009050,5.949443236411888,17.287110198704806,0.22647805414982658
agcrn,24,1009050,5.648014616656644,16.709705639942428,0.26566855370128184
