method,target,horizon,n_origins,MAE,RMSE,skill_vs_persistence
agcrn,WVHT,1,1078554,0.08946483491678377,0.1449521369708748,-0.03950512129900785
agcrn,WVHT,3,1077600,0.12904577306528994,0.20527342204299961,0.06689073410434199
agcrn,WVHT,6,1076607,0.18081148435786143,0.29014315384466216,0.11886092593807929
agcrn,WVHT,12,1075089,0.24790008393374802,0.40251682452466986,0.1632159890543703
agcrn,WVHT,24,1072530,0.3329628997129705,0.5342353677962011,0.19937057949784642
agcrn,APD,1,1014338,0.2395931763718251,0.3496951062160995,-0.016397181325549237
agcrn,APD,3,1013572,0.3592232777199713,0.5221035603851206,0.06987286856995878
agcrn,APD,6,1012725,0.48186113680762305,0.6825625334778176,0.1241096867503666
agcrn,APD,12,1011401,0.5952974871231719,0.8292198474159712,0.17724914869930541
agcrn,APD,24,1009150,0.7163846141818055,0.9896258823371059,0.18943076674165749
