method,target,horizon,n_origins,MAE,RMSE,skill_vs_persistence
dcrnn,WVHT,1,1078554,0.08442449888561057,0.13182204879865475,0.01905928696649628
dcrnn,WVHT,3,1077600,0.12573748250962855,0.19607925655256225,0.09081245194473109
dcrnn,WVHT,6,1076607,0.17896951669200473,0.28426642588519074,0.12783728985273346
dcrnn,WVHT,12,1075089,0.25180836527770695,0.4071188328025151,0.15002362829754234
dcrnn,WVHT,24,1072530,0.34981106374715837,0.560723592693947,0.15885815057905295
dcrnn,APD,1,1014338,0.23017584122024726,0.3359589023227847,0.023552841661780288
dcrnn,APD,3,1013572,0.35222719021839066,0.5115220540712928,0.0879876489939363
dcrnn,APD,6,1012725,0.4784460339736806,0.6790492738143339,0.13031739943460363
dcrnn,APD,12,1011401,0.6053735069500421,0.8509101463355387,0.16332324766729767
dcrnn,APD,24,1009150,0.7483237280019978,1.0362485328763913,0.1532925492427345
