method,target,horizon,n_origins,MAE,RMSE,skill_vs_persistence
graphwavenet,WVHT,1,1078554,0.08274902682758946,0.13397420053432008,0.03852684409691909
graphwavenet,WVHT,3,1077600,0.12410214484424105,0.19779215485655663,0.10263731603903348
graphwavenet,WVHT,6,1076607,0.17694671076457036,0.2842952194008094,0.13769492333346312
graphwavenet,WVHT,12,1075089,0.2494860290478101,0.4054161938863593,0.15786264873828082
graphwavenet,WVHT,24,1072530,0.3469589202565296,0.5536370596504877,0.16571630201892695
graphwavenet,APD,1,1014338,0.22265161558878901,0.32813778851190006,0.05547195488228074
graphwavenet,APD,3,1013572,0.3491902848451961,0.5108416410930818,0.09585102605881546
graphwavenet,APD,6,1012725,0.47770811650279454,0.6804935497688396,0.13165872936423606
graphwavenet,APD,12,1011401,0.6069934939340952,0.8486854458438339,0.16108429034082417
graphwavenet,APD,24,1009150,0.7448208327548854,1.0307341380239456,0.15725597762802856
