method,target,horizon,n_origins,MAE,RMSE,skill_vs_persistence
dlinear,WVHT,1,1078554,0.08456096057933671,0.13218852059845032,0.017473718406274763
dlinear,WVHT,3,1077600,0.1354969038083712,0.21355697703479834,0.020243643472184103
dlinear,WVHT,6,1076607,0.20023435789248806,0.32210075720794107,0.02420846034551638
dlinear,WVHT,12,1075089,0.28455906770641576,0.4619298439502066,0.039473991908932304
dlinear,WVHT,24,1072530,0.3864499888810433,0.6128194713617013,0.07075764021272823
dlinear,APD,1,1014338,0.23299324481663125,0.3486518073468238,0.011600910820573351
dlinear,APD,3,1013572,0.3802273554101206,0.5629431912462628,0.015487577465572944
dlinear,APD,6,1012725,0.5347486869190271,0.7699768953596428,0.0279747439305692
dlinear,APD,12,1011401,0.6924829166216787,0.9743275578353988,0.04293076741345281
dlinear,APD,24,1009150,0.8283883354132257,1.1463430484896673,0.0627016764689381
