method,target,horizon,n_origins,MAE,RMSE,skill_vs_persistence
itransformer,WVHT,1,1078554,0.08523585807896994,0.135139088809229,0.009631984747757505
itransformer,WVHT,3,1077600,0.13307474613842454,0.20885065572050687,0.03775787669037689
itransformer,WVHT,6,1076607,0.19439083192977186,0.30965694635946484,0.05268540733995486
itransformer,WVHT,12,1075089,0.274290365834565,0.4447716117128617,0.07413588230921386
itransformer,WVHT,24,1072530,0.3754869707251533,0.6010021709507258,0.09711888010062952
itransformer,APD,1,1014338,0.23234825255093755,0.3475674872107758,0.01433708357288277
itransformer,APD,3,1013572,0.3719830954060887,0.5486072392717335,0.03683421724065805
itransformer,APD,6,1012725,0.5167626108274361,0.740072556989639,0.06066845715750846
itransformer,APD,12,1011401,0.6626041581746601,0.9304911261165584,0.08422570730458323
itransformer,APD,24,1009150,0.8049824524322637,1.1127399105425293,0.08918478099970906
