method,target,horizon,n_origins,MAE,RMSE,skill_vs_persistence
patchtst,WVHT,1,1078554,0.08349898556474769,0.13136794550558256,0.029812962841070823
patchtst,WVHT,3,1077600,0.1330652769407335,0.20930829483236027,0.03782634693853937
patchtst,WVHT,6,1076607,0.1952582384255465,0.3148000044256466,0.04845832099509939
patchtst,WVHT,12,1075089,0.27717165651106485,0.451887846543434,0.06441011727225598
patchtst,WVHT,24,1072530,0.37892170621370097,0.6050895044350646,0.08885985098313709
patchtst,APD,1,1014338,0.23146289690857924,0.34557373908637123,0.018092920834154147
patchtst,APD,3,1013572,0.37510823384633935,0.5538319558546472,0.0287423806781677
patchtst,APD,6,1012725,0.5246768884070158,0.7524070616509769,0.046282488796897336
patchtst,APD,12,1011401,0.6758415111591677,0.9477240855539485,0.06593057978841754
patchtst,APD,24,1009150,0.8152254472409262,1.1259405698563123,0.07759511773229044
