baseline,config,mechanism,target,metric,mean,std,n_seeds
grin,block_10,block,APD,MAE,0.5701372220320724,0.015830346175568843,3
grin,block_10,block,APD,MRE,0.09558968950498344,0.0020688045309207826,3
grin,block_10,block,APD,RMSE,0.7542879041586618,0.02497393215444848,3
grin,block_10,block,WVHT,MAE,0.35491628911028433,0.008225530838578014,3
grin,block_10,block,WVHT,MRE,0.2546816285721049,0.005295184241390243,3
grin,block_10,block,WVHT,RMSE,0.4620925695595643,0.007157732900417874,3
grin,block_30,block,APD,MAE,0.6436702487388043,0.013798551082595246,3
grin,block_30,block,APD,MRE,0.10960925445693553,0.002026554210673349,3
grin,block_30,block,APD,RMSE,0.8284450919465178,0.015673154540339712,3
grin,block_30,block,WVHT,MAE,0.4423163308464235,0.009406591785661686,3
grin,block_30,block,WVHT,MRE,0.33093990200017,0.00482231785855647,3
grin,block_30,block,WVHT,RMSE,0.5601033765970608,0.011240809224233357,3
grin,block_50,block,APD,MAE,0.8088125272180694,0.010473146880793984,3
grin,block_50,block,APD,MRE,0.13916128211019319,0.0018032693939868988,3
grin,block_50,block,APD,RMSE,1.0257177138246145,0.010900463141735782,3
grin,block_50,block,WVHT,MAE,0.5812137819585065,0.004999543104292025,3
grin,block_50,block,WVHT,MRE,0.4464854728025977,0.0027312049541442984,3
grin,block_50,block,WVHT,RMSE,0.7489611864179248,0.003930019983742816,3
grin,mcar_10,mcar,APD,MAE,0.17740567176499533,0.0004327138847510077,3
grin,mcar_10,mcar,APD,MRE,0.029619846660300247,8.649697582987088e-05,3
grin,mcar_10,mcar,APD,RMSE,0.2661570768220375,0.0008030109215636488,3
grin,mcar_10,mcar,WVHT,MAE,0.06406378889133599,0.00010009266395762597,3
grin,mcar_10,mcar,WVHT,MRE,0.04532685499381447,0.00013224470067051353,3
grin,mcar_10,mcar,WVHT,RMSE,0.10178482319623501,0.000388293330062089,3
grin,mcar_30,mcar,APD,MAE,0.19262559131279033,0.0004315159440732411,3
grin,mcar_30,mcar,APD,MRE,0.032153031605114395,6.48351100440448e-05,3
grin,mcar_30,mcar,APD,RMSE,0.29009996490934825,0.0010859613781894885,3
grin,mcar_30,mcar,WVHT,MAE,0.06880412479134197,0.00016779024027330385,3
grin,mcar_30,mcar,WVHT,MRE,0.04861148514277427,5.5960558479696645e-05,3
grin,mcar_30,mcar,WVHT,RMSE,0.11122551138216463,0.0006581299768713512,3
grin,mcar_50,mcar,APD,MAE,0.21925935167607757,0.00042105428594404543,3
grin,mcar_50,mcar,APD,MRE,0.03660178737015666,6.173581380093611e-05,3
grin,mcar_50,mcar,APD,RMSE,0.3302123067516998,0.0009692825537301609,3
grin,mcar_50,mcar,WVHT,MAE,0.07807046654461537,4.914406669016646e-05,3
grin,mcar_50,mcar,WVHT,MRE,0.05516937485729336,3.1523572406540355e-05,3
grin,mcar_50,mcar,WVHT,RMSE,0.12869918468048477,0.00039446981471176045,3
grin,station_outage_720,station_outage,APD,MAE,0.8062256391002318,0.08863450088383812,3
grin,station_outage_720,station_outage,APD,MRE,0.11806590666516138,0.014767713066794873,3
grin,station_outage_720,station_outage,APD,RMSE,1.0478296889194711,0.13843667106651866,3
grin,station_outage_720,station_outage,WVHT,MAE,0.4172233937723515,0.033362779161752745,3
grin,station_outage_720,station_outage,WVHT,MRE,0.23288543874816336,0.007944769610684499,3
grin,station_outage_720,station_outage,WVHT,RMSE,0.58222183320991,0.07379762161731739,3
grin,station_outage_full,station_outage,APD,MAE,0.7361395825513121,0.04195848188885604,3
grin,station_outage_full,station_outage,APD,MRE,0.12224717696922116,0.012554556068757307,3
grin,station_outage_full,station_outage,APD,RMSE,0.9276727584322223,0.07190233289501717,3
grin,station_outage_full,station_outage,WVHT,MAE,0.33104260549815384,0.010041300563573122,3
grin,station_outage_full,station_outage,WVHT,MRE,0.22709610524558532,0.016986876419496116,3
grin,station_outage_full,station_outage,WVHT,RMSE,0.45327745588360197,0.024373443379073708,3
