graph,model_seed,station_id,station_idx,config,mask_seed,target,metric,value,n_cells
adjacency_knn_basin,0,42095,7,station_outage_full,0,WVHT,MAE,0.3463580622100695,8266
adjacency_knn_basin,0,42095,7,station_outage_full,0,WVHT,RMSE,0.4681646758732273,8266
adjacency_knn_basin,0,42095,7,station_outage_full,0,APD,MAE,0.8513849379454037,8266
adjacency_knn_basin,0,42095,7,station_outage_full,0,APD,RMSE,1.0984523957306846,8266
adjacency_knn_basin,0,42097,8,station_outage_full,0,WVHT,MAE,0.2622422792858359,4935
adjacency_knn_basin,0,42097,8,station_outage_full,0,WVHT,RMSE,0.3930939070669447,4935
adjacency_knn_basin,0,42097,8,station_outage_full,0,APD,MAE,0.6328242358862496,4935
adjacency_knn_basin,0,42097,8,station_outage_full,0,APD,RMSE,0.7767694241641923,4935
adjacency_knn_basin,0,44011,30,station_outage_full,0,WVHT,MAE,0.7380555362987316,8737
adjacency_knn_basin,0,44011,30,station_outage_full,0,WVHT,RMSE,1.109055797419253,8737
adjacency_knn_basin,0,44011,30,station_outage_full,0,APD,MAE,0.7555485796794736,8737
adjacency_knn_basin,0,44011,30,station_outage_full,0,APD,RMSE,0.9828145928502108,8737
adjacency_knn_basin,0,44020,32,station_outage_full,0,WVHT,MAE,0.1540301270740066,8745
adjacency_knn_basin,0,44020,32,station_outage_full,0,WVHT,RMSE,0.2088161813988705,8745
adjacency_knn_basin,0,44020,32,station_outage_full,0,APD,MAE,0.3600654278822854,8745
adjacency_knn_basin,0,44020,32,station_outage_full,0,APD,RMSE,0.4735315308414665,8745
adjacency_knn_basin,0,44090,34,station_outage_full,0,WVHT,MAE,0.2727334718758529,8253
adjacency_knn_basin,0,44090,34,station_outage_full,0,WVHT,RMSE,0.4260989533347797,8253
adjacency_knn_basin,0,44090,34,station_outage_full,0,APD,MAE,0.5984665621749673,8253
adjacency_knn_basin,0,44090,34,station_outage_full,0,APD,RMSE,0.7722253599515232,8253
adjacency_knn_basin,0,41044,39,station_outage_full,0,WVHT,MAE,0.3918254410017419,8739
adjacency_knn_basin,0,41044,39,station_outage_full,0,WVHT,RMSE,0.5648386029570419,8739
adjacency_knn_basin,0,41044,39,station_outage_full,0,APD,MAE,0.5542169035885463,8739
adjacency_knn_basin,0,41044,39,station_outage_full,0,APD,RMSE,0.7965333391808204,8739
adjacency_knn_basin,0,51002,66,station_outage_full,0,WVHT,MAE,0.3989516617959416,8742
adjacency_knn_basin,0,51002,66,station_outage_full,0,WVHT,RMSE,0.4928995035965718,8742
adjacency_knn_basin,0,51002,66,station_outage_full,0,APD,MAE,0.5123947246045494,8742
adjacency_knn_basin,0,51002,66,station_outage_full,0,APD,RMSE,0.669225326862619,8742
adjacency_knn_basin,0,51208,72,station_outage_full,0,WVHT,MAE,0.4075047077868435,6546
adjacency_knn_basin,0,51208,72,station_outage_full,0,WVHT,RMSE,0.5984063234180399,6546
adjacency_knn_basin,0,51208,72,station_outage_full,0,APD,MAE,0.8919572179123557,6546
adjacency_knn_basin,0,51208,72,station_outage_full,0,APD,RMSE,1.2104536855911818,6546
adjacency_knn_basin,0,46088,105,station_outage_full,0,WVHT,MAE,0.2244659640273328,8735
adjacency_knn_basin,0,46088,105,station_outage_full,0,WVHT,RMSE,0.3214081631219025,8735
adjacency_knn_basin,0,46088,105,station_outage_full,0,APD,MAE,0.7837132663671252,8735
adjacency_knn_basin,0,46088,105,station_outage_full,0,APD,RMSE,1.05061786503776,8735
adjacency_knn_basin,0,46100,110,station_outage_full,0,WVHT,MAE,0.318990776335342,6145
adjacency_knn_basin,0,46100,110,station_outage_full,0,WVHT,RMSE,0.447665646166588,6145
adjacency_knn_basin,0,46214,113,station_outage_full,0,WVHT,MAE,0.5085857456504153,5986
adjacency_knn_basin,0,46214,113,station_outage_full,0,WVHT,RMSE,0.7029006669231781,5986
adjacency_knn_basin,0,46214,113,station_outage_full,0,APD,MAE,0.7035109441266207,5986
adjacency_knn_basin,0,46214,113,station_outage_full,0,APD,RMSE,0.9227255532951107,5986
adjacency_knn_basin,0,46225,120,station_outage_full,0,WVHT,MAE,0.1961691493932314,8757
adjacency_knn_basin,0,46225,120,station_outage_full,0,WVHT,RMSE,0.2595011774278903,8757
adjacency_knn_basin,0,46225,120,station_outage_full,0,APD,MAE,1.0481376001657232,8757
adjacency_knn_basin,0,46225,120,station_outage_full,0,APD,RMSE,1.2830550724614893,8757
adjacency_knn_basin,0,46244,128,station_outage_full,0,WVHT,MAE,0.4293988420529642,8754
adjacency_knn_basin,0,46244,128,station_outage_full,0,WVHT,RMSE,0.5837860869359043,8754
adjacency_knn_basin,0,46244,128,station_outage_full,0,APD,MAE,0.8723803060650362,8754
adjacency_knn_basin,0,46244,128,station_outage_full,0,APD,RMSE,1.1103615404299856,8754
adjacency_knn_basin,0,46256,133,station_outage_full,0,WVHT,MAE,0.2115957752318872,8706
adjacency_knn_basin,0,46256,133,station_outage_full,0,WVHT,RMSE,0.2792539133183284,8706
adjacency_knn_basin,0,46256,133,station_outage_full,0,APD,MAE,2.0162978524306325,8706
adjacency_knn_basin,0,46256,133,station_outage_full,0,APD,RMSE,2.5081337681740328,8706
adjacency_knn_basin,0,42095,7,station_outage_720,0,WVHT,MAE,0.2638255460945943,720
adjacency_knn_basin,0,42095,7,station_outage_720,0,WVHT,RMSE,0.3225265666389503,720
adjacency_knn_basin,0,42095,7,station_outage_720,0,APD,MAE,0.5065435894992525,720
adjacency_knn_basin,0,42095,7,station_outage_720,0,APD,RMSE,0.630229510724977,720
adjacency_knn_basin,0,44011,30,station_outage_720,0,WVHT,MAE,1.2023134095256027,713
adjacency_knn_basin,0,44011,30,station_outage_720,0,WVHT,RMSE,1.5253990040244112,713
adjacency_knn_basin,0,44011,30,station_outage_720,0,APD,MAE,0.9481932991095546,713
adjacency_knn_basin,0,44011,30,station_outage_720,0,APD,RMSE,1.1596053034063534,713
adjacency_knn_basin,0,44020,32,station_outage_720,0,WVHT,MAE,0.171942990963298,713
adjacency_knn_basin,0,44020,32,station_outage_720,0,WVHT,RMSE,0.2178436088567037,713
adjacency_knn_basin,0,44020,32,station_outage_720,0,APD,MAE,0.3568477266218857,713
adjacency_knn_basin,0,44020,32,station_outage_720,0,APD,RMSE,0.4849787908644228,713
adjacency_knn_basin,0,44090,34,station_outage_720,0,WVHT,MAE,0.4982270318992253,682
adjacency_knn_basin,0,44090,34,station_outage_720,0,WVHT,RMSE,0.6695279007212035,682
adjacency_knn_basin,0,44090,34,station_outage_720,0,APD,MAE,0.8282210711030326,682
adjacency_knn_basin,0,44090,34,station_outage_720,0,APD,RMSE,1.0455457576324618,682
adjacency_knn_basin,0,41044,39,station_outage_720,0,WVHT,MAE,0.6105577585197314,714
adjacency_knn_basin,0,41044,39,station_outage_720,0,WVHT,RMSE,0.751192036189344,714
adjacency_knn_basin,0,41044,39,station_outage_720,0,APD,MAE,0.966022635687712,714
adjacency_knn_basin,0,41044,39,station_outage_720,0,APD,RMSE,1.286526050062402,714
adjacency_knn_basin,0,51002,66,station_outage_720,0,WVHT,MAE,0.4229885366079515,712
adjacency_knn_basin,0,51002,66,station_outage_720,0,WVHT,RMSE,0.4974673984256617,712
adjacency_knn_basin,0,51002,66,station_outage_720,0,APD,MAE,0.6582390571561798,712
adjacency_knn_basin,0,51002,66,station_outage_720,0,APD,RMSE,0.900454387362768,712
adjacency_knn_basin,0,51208,72,station_outage_720,0,WVHT,MAE,0.9390721461032674,720
adjacency_knn_basin,0,51208,72,station_outage_720,0,WVHT,RMSE,1.122562726574738,720
adjacency_knn_basin,0,51208,72,station_outage_720,0,APD,MAE,1.5760529993734371,720
adjacency_knn_basin,0,51208,72,station_outage_720,0,APD,RMSE,1.8998339272135016,720
adjacency_knn_basin,0,46088,105,station_outage_720,0,WVHT,MAE,0.1500197428018614,712
adjacency_knn_basin,0,46088,105,station_outage_720,0,WVHT,RMSE,0.2154215571595462,712
adjacency_knn_basin,0,46088,105,station_outage_720,0,APD,MAE,0.9879108223469408,712
adjacency_knn_basin,0,46088,105,station_outage_720,0,APD,RMSE,1.2230668190017295,712
adjacency_knn_basin,0,46100,110,station_outage_720,0,WVHT,MAE,0.4163498190356893,720
adjacency_knn_basin,0,46100,110,station_outage_720,0,WVHT,RMSE,0.5230027912894695,720
adjacency_knn_basin,0,46214,113,station_outage_720,0,WVHT,MAE,0.3792289703759032,720
adjacency_knn_basin,0,46214,113,station_outage_720,0,WVHT,RMSE,0.5747418412922709,720
adjacency_knn_basin,0,46214,113,station_outage_720,0,APD,MAE,0.8043556993850237,720
adjacency_knn_basin,0,46214,113,station_outage_720,0,APD,RMSE,0.9918323344640866,720
adjacency_knn_basin,0,46225,120,station_outage_720,0,WVHT,MAE,0.1458467984242352,720
adjacency_knn_basin,0,46225,120,station_outage_720,0,WVHT,RMSE,0.1804176198997573,720
adjacency_knn_basin,0,46225,120,station_outage_720,0,APD,MAE,1.1526755783222626,720
adjacency_knn_basin,0,46225,120,station_outage_720,0,APD,RMSE,1.4056635622948923,720
adjacency_knn_basin,0,46244,128,station_outage_720,0,WVHT,MAE,0.4124133249564903,720
adjacency_knn_basin,0,46244,128,station_outage_720,0,WVHT,RMSE,0.5524290740259621,720
adjacency_knn_basin,0,46244,128,station_outage_720,0,APD,MAE,0.9644666076277522,720
adjacency_knn_basin,0,46244,128,station_outage_720,0,APD,RMSE,1.2364740912864984,720
adjacency_knn_basin,0,46256,133,station_outage_720,0,WVHT,MAE,0.1168011368513837,720
adjacency_knn_basin,0,46256,133,station_outage_720,0,WVHT,RMSE,0.1564262033670324,720
adjacency_knn_basin,0,46256,133,station_outage_720,0,APD,MAE,2.1132421048273944,720
adjacency_knn_basin,0,46256,133,station_outage_720,0,APD,RMSE,2.55080565030587,720
adjacency_knn_basin,0,42019,2,station_outage_full,1,WVHT,MAE,0.4664553068766352,8738
adjacency_knn_basin,0,42019,2,station_outage_full,1,WVHT,RMSE,0.6383254906280477,8738
adjacency_knn_basin,0,42019,2,station_outage_full,1,APD,MAE,0.6780888463657351,8738
adjacency_knn_basin,0,42019,2,station_outage_full,1,APD,RMSE,0.8206073542180801,8738
adjacency_knn_basin,0,42099,10,station_outage_full,1,WVHT,MAE,0.3399271104981323,8754
adjacency_knn_basin,0,42099,10,station_outage_full,1,WVHT,RMSE,0.515098868314979,8754
adjacency_knn_basin,0,42099,10,station_outage_full,1,APD,MAE,0.6635395819295379,8754
adjacency_knn_basin,0,42099,10,station_outage_full,1,APD,RMSE,0.8420198461587453,8754
adjacency_knn_basin,0,44072,20,station_outage_full,1,WVHT,MAE,0.1435499557516148,7239
adjacency_knn_basin,0,44072,20,station_outage_full,1,WVHT,RMSE,0.2131025809873488,7239
adjacency_knn_basin,0,41049,42,station_outage_full,1,WVHT,MAE,0.5212576306996417,8743
adjacency_knn_basin,0,41049,42,station_outage_full,1,WVHT,RMSE,0.7759948626406961,8743
adjacency_knn_basin,0,41049,42,station_outage_full,1,APD,MAE,0.6706060651347375,8743
adjacency_knn_basin,0,41049,42,station_outage_full,1,APD,RMSE,0.8772838107336002,8743
adjacency_knn_basin,0,41115,46,station_outage_full,1,WVHT,MAE,0.3020758116374541,8755
adjacency_knn_basin,0,41115,46,station_outage_full,1,WVHT,RMSE,0.4305722071227522,8755
adjacency_knn_basin,0,41115,46,station_outage_full,1,APD,MAE,1.1036634271118722,8755
adjacency_knn_basin,0,41115,46,station_outage_full,1,APD,RMSE,1.5489768634197023,8755
adjacency_knn_basin,0,51000,64,station_outage_full,1,WVHT,MAE,0.5317403674906164,8738
adjacency_knn_basin,0,51000,64,station_outage_full,1,WVHT,RMSE,0.7064729009302817,8738
adjacency_knn_basin,0,51000,64,station_outage_full,1,APD,MAE,0.5856059536402459,8738
adjacency_knn_basin,0,51000,64,station_outage_full,1,APD,RMSE,0.7730562864795882,8738
adjacency_knn_basin,0,51001,65,station_outage_full,1,WVHT,MAE,0.550968063343432,8740
adjacency_knn_basin,0,51001,65,station_outage_full,1,WVHT,RMSE,0.8003006018014549,8740
adjacency_knn_basin,0,51001,65,station_outage_full,1,APD,MAE,0.6688341847841769,8740
adjacency_knn_basin,0,51001,65,station_outage_full,1,APD,RMSE,0.9144610726794312,8740
adjacency_knn_basin,0,51004,67,station_outage_full,1,WVHT,MAE,0.358390604677762,8736
adjacency_knn_basin,0,51004,67,station_outage_full,1,WVHT,RMSE,0.4621125652280371,8736
adjacency_knn_basin,0,51004,67,station_outage_full,1,APD,MAE,0.4958736975984272,8736
adjacency_knn_basin,0,51004,67,station_outage_full,1,APD,RMSE,0.6529266057071533,8736
adjacency_knn_basin,0,51101,68,station_outage_full,1,WVHT,MAE,0.5328672725544472,8746
adjacency_knn_basin,0,51101,68,station_outage_full,1,WVHT,RMSE,0.7832881849127854,8746
adjacency_knn_basin,0,51101,68,station_outage_full,1,APD,MAE,0.675632789216069,8746
adjacency_knn_basin,0,51101,68,station_outage_full,1,APD,RMSE,0.9247621880956692,8746
adjacency_knn_basin,0,41004,79,station_outage_full,1,WVHT,MAE,0.3756590695664193,8741
adjacency_knn_basin,0,41004,79,station_outage_full,1,WVHT,RMSE,0.5493233549555593,8741
adjacency_knn_basin,0,41004,79,station_outage_full,1,APD,MAE,0.5535376100256671,8741
adjacency_knn_basin,0,41004,79,station_outage_full,1,APD,RMSE,0.7436571708337372,8741
adjacency_knn_basin,0,41009,81,station_outage_full,1,WVHT,MAE,0.3829279870237743,7139
