graph,config,mechanism,target,metric,mean,std,n_model_seeds
adjacency_knn,block_10,block,APD,MAE,0.6217486494958532,0.015546842302133995,3
adjacency_knn,block_10,block,APD,MRE,0.10424636077401565,0.0026063089702293924,3
adjacency_knn,block_10,block,APD,RMSE,0.8706284907459393,0.03666338205505458,3
adjacency_knn,block_10,block,WVHT,MAE,0.32240318312362426,0.027733091232763612,3
adjacency_knn,block_10,block,WVHT,MRE,0.23135985120876368,0.019900323778460793,3
adjacency_knn,block_10,block,WVHT,RMSE,0.4899861024703342,0.03559933082980724,3
adjacency_knn,block_20,block,APD,MAE,0.6346635336674381,0.01671569750913273,3
adjacency_knn,block_20,block,APD,MRE,0.10704512503115866,0.00281681599241469,3
adjacency_knn,block_20,block,APD,RMSE,0.8756377860895062,0.04197335244911333,3
adjacency_knn,block_20,block,WVHT,MAE,0.32824965066581063,0.02577053184743039,3
adjacency_knn,block_20,block,WVHT,MRE,0.23902846662111443,0.01875572831621274,3
adjacency_knn,block_20,block,WVHT,RMSE,0.503262422475883,0.03228482912493923,3
adjacency_knn,block_30,block,APD,MAE,0.6485340191291509,0.019219373729690615,3
adjacency_knn,block_30,block,APD,MRE,0.11043684500800006,0.003272493705910831,3
adjacency_knn,block_30,block,APD,RMSE,0.8844699791907678,0.040665392230196676,3
adjacency_knn,block_30,block,WVHT,MAE,0.3296310138702116,0.02231436272423067,3
adjacency_knn,block_30,block,WVHT,MRE,0.24666957310758442,0.01668995544043478,3
adjacency_knn,block_30,block,WVHT,RMSE,0.5027792241336629,0.026562255593555986,3
adjacency_knn,block_5,block,APD,MAE,0.6222083425780854,0.01178032742623407,3
adjacency_knn,block_5,block,APD,MRE,0.10406169767706729,0.0019698304415556515,3
adjacency_knn,block_5,block,APD,RMSE,0.8743964928280236,0.030863622283780295,3
adjacency_knn,block_5,block,WVHT,MAE,0.3161111274952407,0.028448518239611028,3
adjacency_knn,block_5,block,WVHT,MRE,0.22652426364324094,0.020398646270601922,3
adjacency_knn,block_5,block,WVHT,RMSE,0.4832781718613006,0.03679677629967538,3
adjacency_knn,block_50,block,APD,MAE,0.7160650659535391,0.03215903852688046,3
adjacency_knn,block_50,block,APD,MRE,0.12320456508844525,0.005533312859489006,3
adjacency_knn,block_50,block,APD,RMSE,0.9518749513466899,0.04008358759322139,3
adjacency_knn,block_50,block,WVHT,MAE,0.36340198936796825,0.015402399446728828,3
adjacency_knn,block_50,block,WVHT,MRE,0.2791736902037828,0.011830844617031858,3
adjacency_knn,block_50,block,WVHT,RMSE,0.5340922869308512,0.0178133779824654,3
adjacency_knn,mcar_10,mcar,APD,MAE,0.18092341081113417,0.0007500164948164611,3
adjacency_knn,mcar_10,mcar,APD,MRE,0.03020715271339186,0.0001252252680356213,3
adjacency_knn,mcar_10,mcar,APD,RMSE,0.271129113171464,0.0010095657627090518,3
adjacency_knn,mcar_10,mcar,WVHT,MAE,0.06601680688053313,0.0003594947744841151,3
adjacency_knn,mcar_10,mcar,WVHT,MRE,0.04670866900234622,0.0002543438062457781,3
adjacency_knn,mcar_10,mcar,WVHT,RMSE,0.10581812988905852,0.0008947319180709004,3
adjacency_knn,mcar_20,mcar,APD,MAE,0.18827918749448566,0.001057237984642609,3
adjacency_knn,mcar_20,mcar,APD,MRE,0.03142752020023128,0.00017647170804911778,3
adjacency_knn,mcar_20,mcar,APD,RMSE,0.2820259108458408,0.001291269957618174,3
adjacency_knn,mcar_20,mcar,WVHT,MAE,0.06839659060744542,0.0006745915385560941,3
adjacency_knn,mcar_20,mcar,WVHT,MRE,0.0483201515433441,0.0004765559054147254,3
adjacency_knn,mcar_20,mcar,WVHT,RMSE,0.11049981448392569,0.001132883223311491,3
adjacency_knn,mcar_30,mcar,APD,MAE,0.19800509871983282,0.001270747805496674,3
adjacency_knn,mcar_30,mcar,APD,MRE,0.03305097924788128,0.00021210928224088278,3
adjacency_knn,mcar_30,mcar,APD,RMSE,0.29732608344608763,0.0013997667139864852,3
adjacency_knn,mcar_30,mcar,WVHT,MAE,0.07169159362478295,0.0011276157444976371,3
adjacency_knn,mcar_30,mcar,WVHT,MRE,0.0506515038956667,0.0007966574836413671,3
adjacency_knn,mcar_30,mcar,WVHT,RMSE,0.1174626446235348,0.0015857931064850517,3
adjacency_knn,mcar_5,mcar,APD,MAE,0.17795654832070373,0.0007116811652885609,3
adjacency_knn,mcar_5,mcar,APD,MRE,0.029708793611482678,0.00011881202026977735,3
adjacency_knn,mcar_5,mcar,APD,RMSE,0.26618580403879233,0.0008913837498461267,3
