up,dn,up_id,dn_id,basin,dist_km,coupling,obs_lag_h,pred_lag_h,Tp,cg_ms
0,1,42002,42012,Gulf,763.4203895693574,0.4753513853551676,3,46.40323,5.854016,4.569967
2,0,42019,42002,Gulf,267.2221614289043,0.7722158410737868,7,15.170489,6.2677436,4.8929453
0,3,42002,42036,Gulf,959.582104291314,0.47683566141240513,11,58.699352,5.816841,4.540946
0,4,42002,42040,Gulf,655.3110543110839,0.577754578367665,3,39.056824,5.970201,4.660667
0,5,42002,42055,Gulf,424.99117857567865,0.7370892395087464,7,23.909082,6.3249254,4.9375844
0,6,42002,42084,Gulf,529.2777190628655,0.5793767036225921,2,32.05109,5.875965,4.5871015
0,7,42002,42095,Gulf,1200.52228041197,0.27086634453431024,14,72.941795,5.8564186,4.5718427
0,8,42002,42097,Gulf,1013.6086071642009,0.4067666364168846,19,62.031513,5.8142843,4.53895
0,9,42002,42098,Gulf,1092.0009921810702,0.36643947933668397,17,71.19386,5.457815,4.2606707
0,10,42002,42099,Gulf,957.1383139130111,0.47922148478261734,14,58.286224,5.843151,4.5614853
2,1,42019,42012,Gulf,794.8580567828734,0.4750768189961027,13,48.466248,5.835641,4.555622
1,3,42012,42036,Gulf,342.31563864004426,0.5830500896561335,6,22.708918,5.363752,4.1872396
1,4,42012,42040,Gulf,115.89134278308558,0.8764265261754343,1,7.4806485,5.5125194,4.3033757
1,5,42012,42055,Gulf,1097.233667724776,0.2897977405533468,6,66.11365,5.9053593,4.6100483
1,6,42012,42084,Gulf,235.64819922561676,0.7797527999252164,0,15.583284,5.3807583,4.2005157
7,1,42095,42012,Gulf,836.0532800200858,0.35472613597877434,3,55.264687,5.3830023,4.2022676
1,8,42012,42097,Gulf,617.2099238594811,0.32132337201975675,11,41.413044,5.3031526,4.1399326
1,9,42012,42098,Gulf,526.9222368048961,0.359768205181092,14,37.721375,4.9704685,3.8802214
1,10,42012,42099,Gulf,438.7756635066372,0.4809029074234062,10,29.03555,5.3771334,4.197686
2,3,42019,42036,Gulf,1063.7213717742748,0.3415950324844498,21,65.25141,5.8006454,4.528303
2,4,42019,42040,Gulf,708.7641215555575,0.524788596950796,12,42.388794,5.949617,4.6445985
2,5,42019,42055,Gulf,653.2387142783437,0.5512574535983695,16,36.915966,6.296454,4.915358
2,6,42019,42084,Gulf,569.4314384034574,0.5509979825531448,10,34.596462,5.8566346,4.572011
2,7,42019,42095,Gulf,1389.6114654012001,0.2236924434650692,20,84.69066,5.838432,4.5578012
2,8,42019,42097,Gulf,1185.1623756543313,0.2409997475699331,29,72.75606,5.796249,4.524871
2,9,42019,42098,Gulf,1221.417645789752,0.20938182961111584,29,79.738075,5.4505053,4.2549644
2,10,42019,42099,Gulf,1091.7353695384932,0.31682773267043984,24,66.68075,5.825795,4.5479364
4,3,42040,42036,Gulf,371.8482966593554,0.6751380622846453,6,24.06195,5.498868,4.292719
