baseline,config,mechanism,target,metric,mean,std,n_seeds
saits,block_10,block,APD,MAE,0.7828828855819655,0.01543774148053915,3
saits,block_10,block,APD,MRE,0.13126014583768597,0.001463942543420038,3
saits,block_10,block,APD,RMSE,1.141124080393635,0.022909451262566046,3
saits,block_10,block,WVHT,MAE,0.6523546883657981,0.007217117176204065,3
saits,block_10,block,WVHT,MRE,0.46813581751109185,0.005349408836702373,3
saits,block_10,block,WVHT,RMSE,0.9363759775249648,0.01719048816025182,3
saits,block_30,block,APD,MAE,0.7931596119561161,0.011479674858282139,3
saits,block_30,block,APD,MRE,0.13506292311346013,0.0007825196613851627,3
saits,block_30,block,APD,RMSE,1.1241044164126917,0.01902246391252019,3
saits,block_30,block,WVHT,MAE,0.6211537084886808,0.005408967873259415,3
saits,block_30,block,WVHT,MRE,0.4647713008724503,0.0009557570009576279,3
saits,block_30,block,WVHT,RMSE,0.8902675759514102,0.017114446272509055,3
saits,block_50,block,APD,MAE,0.808816871054825,0.004380892472924266,3
saits,block_50,block,APD,MRE,0.13916106724749214,0.0003976485829731198,3
saits,block_50,block,APD,RMSE,1.125151856213517,0.010614748954921698,3
saits,block_50,block,WVHT,MAE,0.5975190019560563,0.004543685323044854,3
saits,block_50,block,WVHT,MRE,0.4590096923446234,0.0015891046536979025,3
saits,block_50,block,WVHT,RMSE,0.8523685825761005,0.012356037169020557,3
saits,mcar_10,mcar,APD,MAE,0.15940459660740028,0.0004758431275182859,3
saits,mcar_10,mcar,APD,MRE,0.026614383954896917,9.732828085261657e-05,3
saits,mcar_10,mcar,APD,RMSE,0.239036457988569,0.0012975184133564668,3
saits,mcar_10,mcar,WVHT,MAE,0.061921955764383134,1.9402672242304413e-05,3
saits,mcar_10,mcar,WVHT,MRE,0.043811439214271136,0.00010185351090260358,3
saits,mcar_10,mcar,WVHT,RMSE,0.09460009023409167,0.0003677640591917367,3
saits,mcar_30,mcar,APD,MAE,0.18159078155449737,0.00026236962386727976,3
saits,mcar_30,mcar,APD,MRE,0.030311106479600752,3.6883068197991104e-05,3
saits,mcar_30,mcar,APD,RMSE,0.2747511245290777,0.0011698086088514476,3
saits,mcar_30,mcar,WVHT,MAE,0.07114164460599605,0.00024401078239477236,3
saits,mcar_30,mcar,WVHT,MRE,0.05026296867386756,0.00012221771426541958,3
saits,mcar_30,mcar,WVHT,RMSE,0.11241252106158965,0.0012999673639878665,3
saits,mcar_50,mcar,APD,MAE,0.21422961684880537,0.00038215295784206925,3
saits,mcar_50,mcar,APD,MRE,0.03576215502532689,5.488426976497028e-05,3
saits,mcar_50,mcar,APD,RMSE,0.32710556304397775,0.001446714269630954,3
saits,mcar_50,mcar,WVHT,MAE,0.08624793891332465,0.00015307804709802146,3
saits,mcar_50,mcar,WVHT,MRE,0.060948089350999046,0.00011637829804092973,3
saits,mcar_50,mcar,WVHT,RMSE,0.14359636650900834,0.00023656596905296585,3
saits,station_outage_720,station_outage,APD,MAE,2.3317624545106743,0.32909012697727746,3
saits,station_outage_720,station_outage,APD,MRE,0.3409778690586944,0.047272000897184994,3
saits,station_outage_720,station_outage,APD,RMSE,2.8925664859625493,0.33346373862873074,3
saits,station_outage_720,station_outage,WVHT,MAE,0.9414198897403714,0.05814651446084573,3
saits,station_outage_720,station_outage,WVHT,MRE,0.5265394799285298,0.03690665143791063,3
saits,station_outage_720,station_outage,WVHT,RMSE,1.2502540815288399,0.11352788308481185,3
saits,station_outage_full,station_outage,APD,MAE,1.6944818955020187,0.230376775552841,3
saits,station_outage_full,station_outage,APD,MRE,0.2813851834881331,0.04569942781227595,3
saits,station_outage_full,station_outage,APD,RMSE,2.149062966907827,0.25358270901659175,3
saits,station_outage_full,station_outage,WVHT,MAE,0.7428481815873088,0.025687026429207536,3
saits,station_outage_full,station_outage,WVHT,MRE,0.5092954975051031,0.03285644489132669,3
saits,station_outage_full,station_outage,WVHT,RMSE,0.9869964596349187,0.02732370805234064,3
