station_id,name,owner,lat,lon,basin,expected_hours,WVHT_nonnull,WVHT_coverage,WVHT_longest_gap_h,WVHT_years_with_data,DPD_nonnull,DPD_coverage,DPD_longest_gap_h,DPD_years_with_data
42002,"WEST GULF - 207 NM East of Brownsville, TX",NDBC,25.95,-93.78,Gulf,43824,39782,0.907767433369843,3723,5,39200,0.8944870390653523,3723,5
42012,"ORANGE BEACH - 44 NM SE of Mobile, AL",NDBC,30.06,-87.548,Gulf,43824,38396,0.8761409273457467,2841,5,35690,0.8143939393939394,2861,5
42019,"FREEPORT, TX - 60 NM South of Freeport, TX",NDBC,27.908,-95.343,Gulf,43824,41734,0.9523092369477912,956,5,41300,0.9424059875867103,956,5
42036,"WEST TAMPA  - 112 NM WNW of Tampa, FL",NDBC,28.5,-84.505,Gulf,43824,43476,0.9920591456736036,144,5,41227,0.9407402336619204,144,5
42040,"LUKE OFFSHORE TEST PLATFORM - 63 NM South of Dauphin Island, AL",NDBC,29.207,-88.237,Gulf,43824,41121,0.9383214676889376,2536,5,39279,0.896289704271632,2536,5
42055,"BAY OF CAMPECHE - 214 NM NE of Veracruz, MX",NDBC,22.14,-94.112,Gulf,43824,43470,0.991922234392114,144,5,43122,0.9839813800657174,144,5
42084,"Southwest Pass Entrance W, LA (256)",SCRIPPS,28.988,-89.649,Gulf,43824,35486,0.8097389558232931,3646,5,34266,0.7819003285870756,3646,5
42095,"Satan Shoal, FL (244)",U.S. Army Corps of Engineers,24.407,-81.968,Gulf,43824,39896,0.9103687477181454,2325,5,37631,0.8586847389558233,2325,5
42097,"Pulley Ridge, FL (226)",U.S. Army Corps of Engineers,25.704,-83.654,Gulf,43824,33589,0.7664521723256663,2774,5,32510,0.7418309602044542,2774,5
42098,"Egmont Channel Entrance, FL (214)",Greater Tampa Bay Marine Advisory Council-PORTS,27.59,-82.931,Gulf,43824,41493,0.9468099671412924,992,5,38406,0.8763691128148959,992,5
42099,"Offshore St. Petersburg, FL (144)",SCRIPPS,27.352,-84.275,Gulf,43824,39917,0.9108479372033588,2153,5,38895,0.8875273822562979,2153,5
41120,"Cape Hatteras East, NC (250)",SCRIPPS,35.258,-75.285,Mid-Atlantic,43824,38260,0.8730376049653158,5133,5,38260,0.8730376049653158,5133,5
44008,NANTUCKET 54 NM Southeast of Nantucket,NDBC,40.5,-69.254,Mid-Atlantic,43824,38558,0.8798375319459657,4888,5,38558,0.8798375319459657,4888,5
44009,"DELAWARE BAY 26 NM Southeast of Cape May, NJ",NDBC,38.46,-74.692,Mid-Atlantic,43824,39333,0.8975219058050383,2830,5,39332,0.8974990872581234,2830,5
44014,"VIRGINIA BEACH 64 NM East of Virginia Beach, VA",NDBC,36.603,-74.837,Mid-Atlantic,43824,36791,0.83951715954728,5937,5,36791,0.83951715954728,5937,5
44025,"LONG ISLAND - 30 NM South of Islip, NY",NDBC,40.258,-73.175,Mid-Atlantic,43824,34087,0.7778158086893027,2886,5,34087,0.7778158086893027,2886,5
44056,"Duck FRF, NC",U.S. Army Corps of Engineers,36.2,-75.714,Mid-Atlantic,43824,40931,0.9339859437751004,610,5,40914,0.9335980284775466,610,5
44062,"Gooses Reef, MD",Chesapeake Bay Interpretive Buoy System (CBIBS),38.556,-76.415,Mid-Atlantic,43824,32116,0.7328404527199708,5760,5,32116,0.7328404527199708,5760,5
44063,"Annapolis, MD",Chesapeake Bay Interpretive Buoy System (CBIBS),38.963,-76.448,Mid-Atlantic,43824,31463,0.7179399415845199,2974,5,31463,0.7179399415845199,2974,5
44065,"New York Harbor Entrance - 15 NM SE of Breezy Point , NY",NDBC,40.368,-73.701,Mid-Atlantic,43824,41626,0.9498448338809784,1579,5,41570,0.9485669952537422,1579,5
44072,"York Spit, VA   ",Chesapeake Bay Interpretive Buoy System (CBIBS),37.201,-76.266,Mid-Atlantic,43824,33081,0.7548603504928806,4297,5,33079,0.7548147133990507,4297,5
44086,"Nags Head, NC (243)",UNC Coastal Studies Institute,36.001,-75.421,Mid-Atlantic,43824,43532,0.9933369843008396,192,5,43532,0.9933369843008396,192,5
44087,"Thimble Shoal, VA (240)",U.S. Navy,37.043,-76.129,Mid-Atlantic,43824,34269,0.7819687842278203,2355,5,30627,0.6988636363636364,2355,5
44088,"Virginia Beach Offshore, VA (171)",SCRIPPS,36.612,-74.839,Mid-Atlantic,43824,43517,0.9929947060971156,192,5,43517,0.9929947060971156,192,5
44089,"Wallops Island, VA (224)",U.S. Army Corps of Engineers,37.756,-75.325,Mid-Atlantic,43824,41976,0.9578313253012049,832,5,41973,0.95776286966046,832,5
44091,"Barnegat, NJ (209)",U.S. Army Corps of Engineers,39.772,-73.769,Mid-Atlantic,43824,42223,0.9634675063891932,1336,5,42223,0.9634675063891932,1336,5
44095,"Oregon Inlet, NC (192)",UNC Coastal Studies Institute,35.75,-75.33,Mid-Atlantic,43824,43515,0.9929490690032858,192,5,43515,0.9929490690032858,192,5
44099,"Cape Henry, VA (147)",SCRIPPS,36.915,-75.722,Mid-Atlantic,43824,41880,0.9556407447973712,930,5,41880,0.9556407447973712,930,5
44100,"Duck FRF 26m, NC (430)",SCRIPPS,36.257,-75.593,Mid-Atlantic,43824,38962,0.8890562248995983,1752,5,38962,0.8890562248995983,1752,5
44007,"PORTLAND - 12 NM Southeast of Portland,ME",NDBC,43.525,-70.14,NE,43824,41538,0.9478368017524644,144,5,41308,0.94258853596203,144,5
44011,"GEORGES BANK 170 NM East of Hyannis, MA",NDBC,41.088,-66.546,NE,43824,34083,0.7777245345016429,4193,5,34083,0.7777245345016429,4193,5
44013,"BOSTON 16 NM East of Boston, MA",NDBC,42.346,-70.651,NE,43824,42941,0.9798512230741148,144,5,42152,0.9618473895582328,144,5
44020,NANTUCKET SOUND,NDBC,41.497,-70.283,NE,43824,43309,0.9882484483388098,165,5,34428,0.7855969331872946,172,5
44027,"Jonesport, ME - 20 NM SE of Jonesport, ME",NDBC,44.284,-67.301,NE,43824,37449,0.8545317634173056,4266,5,37318,0.8515425337714494,4266,5
44090,"Cape Cod Bay, MA (221)",Woods Hole Group/NERACOOS,41.84,-70.329,NE,43824,40732,0.9294450529390288,193,5,31414,0.7168218327856882,194,5
44097,"Block Island, RI  (154)",SCRIPPS,40.967,-71.124,NE,43824,43532,0.9933369843008396,192,5,43532,0.9933369843008396,192,5
44098,"Jeffrey's Ledge, NH (160)",University of New Hampshire,42.8,-70.169,NE,43824,42160,0.9620299379335524,1082,5,42159,0.9620071193866374,1082,5
41040,NORTH EQUATORIAL ONE- 470 NM East of Martinique,NDBC,14.563,-53.01,Other/Intl,43824,35981,0.8210341365461847,6490,5,35981,0.8210341365461847,6490,5
41043,"NE PUERTO RICO - 170 NM NNE of San Juan, PR",NDBC,21.09,-64.864,Other/Intl,43824,40106,0.9151606425702812,1720,5,40106,0.9151606425702812,1720,5
41044,NE ST MARTIN - 330 NM NE St Martin Is,NDBC,21.582,-58.63,Other/Intl,43824,43511,0.9928577948156262,144,5,43511,0.9928577948156262,144,5
41046,"EAST BAHAMAS - 335 NM East of San Salvador Is,  Bahamas ",NDBC,23.84,-68.34,Other/Intl,43824,34070,0.7774278933917488,6050,5,34070,0.7774278933917488,6050,5
41047,"NE BAHAMAS - 350 NM ENE of Nassau, Bahamas",NDBC,27.557,-71.48,Other/Intl,43824,33966,0.7750547645125958,4713,5,33966,0.7750547645125958,4713,5
41049,SOUTH BERMUDA - 300 NM SSE of Bermuda,NDBC,27.505,-62.271,Other/Intl,43824,42200,0.9629426798101496,1270,5,42200,0.9629426798101496,1270,5
